680,160,40,40
400,160,40,40
40,120,40,40
200,120,40,40
320,280,40,40
360,440,40,40
600,440,40,40
240,600,40,40
240,840,40,40
720,360,40,40
960,360,40,40
1040,80,40,40
1080,200,40,40
1400,200,40,40
1480,360,40,40
1720,360,40,40
1800,440,40,40
1920,440,40,40
2040,280,40,40
1960,600,40,40
1920,800,40,40
1640,800,40,40
1440,640,40,40
1560,640,40,40
1960,920,40,40
1960,1080,40,40
1640,1080,40,40
1640,1000,40,40
1400,1000,40,40
1400,880,40,40
1240,880,40,40
1240,720,40,40
880,840,40,40
1000,1000,40,40
1120,1000,40,40
1400,1160,40,40
1080,1160,40,40
280,1000,40,40
400,1000,40,40
240,1160,40,40
1280,560,40,40
1360,560,40,40
1280,440,40,40
1040,440,40,40
800,1040,40,40
520,1040,40,40
600,800,40,40
840,800,40,40
1760,240,40,40
1960,240,40,40
1480,120,40,40
1680,120,40,40
1000,840,40,40
1000,720,40,40
1000,560,40,40
640,560,40,40
320,720,40,40
440,720,40,40
760,80,40,40
